"","Date","Clicks","Clean.clicks","Clicks.MA7","Clicks.MA30"
"1",2015-07-01,18,18,NA,NA
"2",2015-07-02,11,11,NA,NA
"3",2015-07-03,5,5,NA,NA
"4",2015-07-04,13,13,11.2857142857143,NA
"5",2015-07-05,14,14,11.8571428571429,NA
"6",2015-07-06,9,9,14,NA
"7",2015-07-07,9,9,16.7142857142857,NA
"8",2015-07-08,22,22,17.5714285714286,NA
"9",2015-07-09,26,26,17,NA
"10",2015-07-10,24,24,17.7142857142857,NA
"11",2015-07-11,19,19,18.5714285714286,NA
"12",2015-07-12,10,10,16.5714285714286,NA
"13",2015-07-13,14,14,15.1428571428571,NA
"14",2015-07-14,15,15,12.8571428571429,NA
"15",2015-07-15,8,8,11.2857142857143,NA
"16",2015-07-16,16,16,12.1428571428571,13.7
"17",2015-07-17,8,8,11.1428571428571,13.4333333333333
"18",2015-07-18,8,8,10.5714285714286,13.4
"19",2015-07-19,16,16,10.8571428571429,13.3666666666667
"20",2015-07-20,7,7,11.4285714285714,13.25
"21",2015-07-21,11,11,12.8571428571429,13.2333333333333
"22",2015-07-22,10,10,13.8571428571429,13.2
"23",2015-07-23,20,20,13.5714285714286,12.8666666666667
"24",2015-07-24,18,18,14.2857142857143,12.3166666666667
"25",2015-07-25,15,15,14.1428571428571,11.8333333333333
"26",2015-07-26,14,14,15,11.3666666666667
"27",2015-07-27,49,12,14.7142857142857,11.1166666666667
"28",2015-07-28,10,10,13.2857142857143,11.0166666666667
"29",2015-07-29,16,16,11.8571428571429,10.8333333333333
"30",2015-07-30,18,18,11.1428571428571,10.75
"31",2015-07-31,8,8,10.4285714285714,10.7166666666667
"32",2015-08-01,5,5,10.8571428571429,10.6
"33",2015-08-02,9,9,9.85714285714286,10.65
"34",2015-08-03,7,7,8.28571428571428,10.9166666666667
"35",2015-08-04,13,13,7.71428571428571,11.1
"36",2015-08-05,9,9,8.57142857142857,11.0333333333333
"37",2015-08-06,7,7,8.71428571428571,10.8666666666667
"38",2015-08-07,4,4,8.42857142857143,10.8
"39",2015-08-08,11,11,7.85714285714286,10.55
"40",2015-08-09,10,10,7.85714285714286,10.2833333333333
"41",2015-08-10,5,5,8.14285714285714,10.1916666666667
"42",2015-08-11,9,9,8.85714285714286,10
"43",2015-08-12,9,9,9.14285714285714,9.8
"44",2015-08-13,9,9,8.28571428571428,9.66666666666667
"45",2015-08-14,9,9,9.71428571428571,9.38333333333333
"46",2015-08-15,13,13,12,9.16666666666666
"47",2015-08-16,4,4,12,9.26666666666667
"48",2015-08-17,15,15,11.4285714285714,9.35
"49",2015-08-18,25,25,11,9.41666666666667
"50",2015-08-19,9,9,12,9.45
"51",2015-08-20,5,5,11.8571428571429,9.45
"52",2015-08-21,6,6,11.7142857142857,9.51666666666667
"53",2015-08-22,20,20,9.5,9.73333333333334
"54",2015-08-23,3,3,8.92857142857143,9.81666666666667
